id	name	add_name	description	popup	special_enchant_amount	special_enchant_desc	color
703	巨大蜘蛛的毒囊		从巨大蜘蛛尸体得到的毒囊。把这个交给神官亚哈那斯。	-1	0		1
704	退烧药		神官亚哈那斯为给发烧的魔法学校学生而做的治疗药。把它交给艾黎阿司。	-1	0		1
705	兽人的羽毛护身符		兽人为了施展魔法而携带的符	-1	0		1
706	邪恶蜥蜴之爪		邪恶蜥蜴的爪子	-1	0		1
707	蘑菇孢囊		从蘑菇身上得到的孢子囊。收集10个交给商人勃罗多斯。	-1	0		1
708	精灵头饰		精灵制作的头饰	-1	0		1
709	皮衬衫			-1	0		1
710	硬皮衬衫			-1	0		1
711	骨片胸甲			-1	0		1
712	半身盔甲			-1	0		1
713	皮质裤			-1	0		1
714	硬皮裤			-1	0		1
715	骨片胫甲			-1	0		1
716	金属胫甲			-1	0		1
717	皮手套			-1	0		1
718	硬皮手套			-1	0		1
719	高级皮手套			-1	0		1
720	强化手套			-1	0		1
721	皮靴			-1	0		1
722	硬皮靴			-1	0		1
723	高级皮靴			-1	0		1
724	强化靴			-1	0		1
725	体力治愈辅助药水		暂时恢复一定体力的魔法药水。	-1	0		1
726	魔力治愈辅助药水		暂时恢复一定魔力的魔法药水。	-1	0		1
727	高级体力治愈药水		暂时恢复较多体力的魔法药水。	-1	0		1
728	魔力治愈药水		暂时恢复较多魔力的魔法药水。	-1	0		1
729	武器强化卷轴-A级		强化A级剑/单手，钝器/单手，匕首，矛，其他武器的攻击力加4，剑/双手，钝器/双手，二刀流，拳套/双手武器的攻击力加5，弓武器的攻击力加8，所有武器魔法攻击力加3，+4开始攻击力/魔法攻击力双倍增加。	-1	0		1
730	防具强化卷轴-A级		A级防具或装饰品的防御力可提升1，从+4起提升3。到+3能安全地强化，连身防具则可安全强化到+4。强化防具+4以上时，生命也会随之增加。	-1	0		1
731	武器强化结晶卷轴-A级		强化A级武器的卷轴	-1	0		1
732	防具强化结晶卷轴-A级		强化A级防具的卷轴	-1	0		1
733	奋斗药水		增加战斗力的魔法药水	-1	0		1
734	移动加速药水		增加移动速度的魔法药水	-1	0		1
735	攻击加速药水		提高攻击速度的魔法药水	-1	0		1
736	返回卷轴		返回附近城镇的魔法卷轴	-1	0		1
737	复活卷轴		让死者复活的魔法卷轴	-1	0		1
739	断剑之柄		团结之剑的手柄部分。拿去交给铁匠阿尔特兰。	-1	0		1
740	断裂的刀身		与团结之剑的剑身上半部，一起交给铁匠阿尔特兰。	-1	0		1
741	断裂的刀锋		与团结之剑的剑身下半部，一起交给铁匠阿尔特兰。	-1	0		1
742	阿尔特兰的纸条		阿尔特兰写给罗伊恩的纸条，恳求罗伊恩给予剑炳。拿去交给赛德里训练所的宗师罗伊恩。	-1	0		1
745	科班得的治愈药			-1	0		1
746	艾贝里乌斯的清单		哨兵贝里奥斯。哨兵贝尔特雷斯。请将治愈药交给哨兵莱伊吉恩及哨兵加特兰道。	-1	0		1
750	缘份水晶			-1	0		1
751	破碎的缘份水晶			-1	0		1
752	兽人的羽毛护身符		兽人为了施展魔法而随身携带的符，将此交给警卫队长革尔泊特。	-1	0		1
753	银光树叶胸针			-1	0		1
755	克雷娜斯的信			-1	0		1
756	曼陀罗草根			-1	0		1
757	曼陀罗精油			-1	0		1
758	克雷娜斯的收据			-1	0		1
759	刻印北欧文字的剑			-1	0		1
760	恐怖之剑			-1	0		1
761	死神之剑			-1	0		1
762	灰骨碎片			-1	0		1
763	以斯帖的信			-1	0		1
764	亚本的推荐函			-1	0		1
765	阴谋者名单			-1	0		1
766	莎布琳的印章戒指			-1	0		1
767	被封印的卷轴			-1	0		1
768	罗恩的钥匙			-1	0		1
769	莱克德的遗骸			-1	0		1
770	荣耀之盾			-1	0		1
771	沙依特斯的遗骸			-1	0		1
772	特雷尔的遗骸			-1	0		1
773	帕力莫的遗骸			-1	0		1
774	堕落的荣耀之剑			-1	0		1
775	荣耀之剑			-1	0		1
776	无名剑			-1	0		1
777	黑冰之剑			-1	0		1
778	阿罗帝恩的信			-1	0		1
779	莎布琳的戒指			-1	0		1
780	亚本的信			-1	0		1
781	麦德克劳的项链			-1	0		1
782	艾兰凯的信			-1	0		1
783	艾兰凯的字条			-1	0		1
784	玻璃匕首			-1	0		1
785	破碎的玻璃匕首			-1	0		1
786	亡灵守卫的匕首			-1	0		1
787	柯鲁拉之钥			-1	0		1
788	午夜玛瑙之项链			-1	0		1
789	月光曲的私语			-1	0		1
790	血之波形刃			-1	0		1
791	卡尔伦的头髅			-1	0		1
792	卡尔伦的肋骨			-1	0		1
793	卡尔伦的大腿骨			-1	0		1
794	圣者的骨灰罐			-1	0		1
795	阿斯巴特钉锤			-1	0		1
796	罗伊恩的信函		罗伊恩的信件，内容是关于团结之剑的历史资料。交给铁匠阿尔特兰。	-1	0		1
797	曼纽尔的信函			-1	0		1
798	巴兰克德的信函			-1	0		1
799	葛鲁特的信			-1	0		1
800	娜仙的魔法书			-1	0		1
801	娜仙受诅咒的魔法书			-1	0		1
802	嗜血匕首			-1	0		1
803	血腥匕首			-1	0		1
804	轩尼斯魔杖			-1	0		1
805	品特的凭据			-1	0		1
806	飞龙的爪			-1	0		1
807	无瑕的飞龙爪			-1	0		1
808	普希金的信			-1	0		1
809	骨头碎片		从不死骷髅得到的碎骨片。将此收集十个交给长老凯塔尔。	-1	0		1
810	阿尔特兰的信			-1	0		1
811	油纸			-1	0		1
812	金刚石原石			-1	0		1
813	心脏石			-1	0		1
814	普希金的收据			-1	0		1
815	皮带			-1	0		1
816	黑寡妇			-1	0		1
817	米索莉瓶			-1	0		1
818	格蕾斯独角兽的角			-1	0		1
819	飞龙的骨			-1	0		1
820	扎哈克的汁液			-1	0		1
821	骨刀			-1	0		1
822	飞龙刀			-1	0		1
823	钝匕首			-1	0		1
824	西里尔的纸条			-1	0		1
825	莱恩的信			-1	0		1
826	银色种子			-1	0		1
827	星尘			-1	0		1
828	觉醒之歌			-1	0		1
829	灵魂匕首			-1	0		1
830	克里娜斯的勋章			-1	0		1
831	回音水晶			-1	0		1
832	绿色回音水晶			-1	0		1
833	红色回音水晶			-1	0		1
834	蓝绿色回音水晶			-1	0		1
835	蓝色回音水晶			-1	0		1
836	克里娜斯的魔法书			-1	0		1
837	小妖精粉末			-1	0		1
838	贝立欧乐的信			-1	0		1
839	伊克鲁斯的召唤卷轴			-1	0		1
840	德雷巴奴的头盖骨			-1	0		1
841	伊卡洛斯的委托书			-1	0		1
842	邪恶蜥蜴墨水			-1	0		1
843	阿科兰托斯的经典			-1	0		1
844	阿科兰托斯的经典(1~10页)			-1	0		1
937	遗迹之道		沿着城西北的路走，见到战胜纪念塔时往西，走到山坡上就能看见遗址入口。	-1	0		1
938	试验甲板			-1	0		1
939	卡拉试练道具11			-1	0		1
940	卡拉试练道具12			-1	0		1
941	卡拉勇气的凭据			-1	0		1
942	卡拉正义的凭证			-1	0		1
943	卡拉绝望的凭证			-1	0		1
944	死亡骑士的头骨			-1	0		1
947	武器强化卷轴-B级		强化B级剑/单手，钝器/单手，匕首，矛，其他武器的攻击力加3。剑/双手，钝器/双手，二刀流，拳套/双手武器的攻击力加4。弓武器的攻击力加6。所有武器魔法攻击力加3，+4开始攻击力/魔法攻击力双倍增加。	-1	0		1
948	防具强化卷轴-B级		B级防具或装饰品的防御力可提升1，从+4起提升3。到+3能安全地强化，连身防具则可安全强化到+4。强化防具+4以上时，生命也会随之增加。	-1	0		1
949	武器强化结晶卷轴-B级		B级防具或装饰品的防御力可提升1，从+4起提升3。到+3能安全地强化，连身防具则可安全强化到+4。强化防具+4以上时，生命也会随之增加。	-1	0		1
950	防具强化结晶卷轴-B级		B级防具或装饰品的防御力可提升1，从+4起提升3。到+3能安全地强化，连身防具则可安全强化到+4。强化防具+4以上时，生命也会随之增加。	-1	0		1
951	武器强化卷轴-C级		强化C级剑/单手，钝器/单手，匕首，矛，其他武器的攻击力加3。剑/双手，钝器/双手，二刀流，拳套/双手武器的攻击力加4。弓武器的攻击力加6。所有武器魔法攻击力加3，+4开始攻击力/魔法攻击力双倍增加。	-1	0		1
952	防具强化卷轴-C级		C级防具或装饰品的防御力可提升1，从+4起提升3。到+3能安全地强化，连身防具则可安全强化到+4。强化防具+4以上时，生命也会随之增加。	-1	0		1
953	武器强化结晶卷轴-C级		适合强化C级武器的结晶卷轴	-1	0		1
954	防具强化结晶卷轴-C级		适合强化C级防具的结晶卷轴	-1	0		1
955	武器强化卷轴-D级		强化D级剑/单手，钝器/单手，匕首，矛，剑/双手，钝器/双手，二刀流，拳套/双手武器的攻击力加2。弓武器的攻击力加4。所有武器魔法攻击力加2，+4开始攻击力/魔法攻击力双倍增加。	-1	0		1
956	防具强化卷轴-D级		D级防具或装饰品的防御力可提升1，从+4起提升3。到+3能安全地强化，连身防具则可安全强化到+4。强化防具+4以上时，生命也会随之增加。	-1	0		1
957	武器强化结晶卷轴-D级		适合强化D级武器的结晶卷轴	-1	0		1
958	防具强化结晶卷轴-D级		适合强化D级防具的结晶卷轴	-1	0		1
959	武器强化卷轴-S级		强化S级剑/单手，钝器/单手，匕首，矛，其他武器的攻击力加5。剑/双手，钝器/双手，二刀流，拳套/双手武器的攻击力加6。弓武器的攻击力加10。+4开始攻击力/魔法攻击力双倍增加。	-1	0		1
960	防具强化卷轴-S级		强化S级防具或装饰品的防御力可提升1，从+4起提升3。到+3能安全地强化，连身防具则可安全强化到+4。强化防具+4以上时，生命也会随之增加。	-1	0		1
961	武器强化结晶卷轴-S级		适合强化S级武器的结晶卷轴	-1	0		1
962	防具强化结晶卷轴-S级		适合强化S级防具的结晶卷轴	-1	0		1
963	兽人的箭头		说话之岛的兽人种族常用的箭头。收集这个交给大师米尼亚。	-1	0		1
964	艾贝里乌斯的信		艾贝里乌斯的信，把信交给大师科班得。	-1	0		1
965	长青护身符		镶嵌绿精灵石的项链，只有拿着这个去杀树精时才会掉树精之泪。	-1	0		1
966	树精之泪		凝聚着树精灵气的宝石。收集10个交给大师科班得。	-1	0		1
967	科班得的治愈药		科班得特别制作的治愈药	-1	0		1
968	卡罗伊德的信函		卡罗伊德写给塞克提诺的信。交给席琳神殿的深渊祭司塞克提诺。	-1	0		1
969	塞克提诺的推荐函		塞克提诺写给哈勒涅的推荐函。拿着这个去找在村庄的教师哈勒涅。	-1	0		1
970	塞克提诺的推荐函		塞克提诺写给哈勒涅的推荐函。去黑魔法学院猎杀骷髅收集10个骨头碎片。	-1	0		1
971	捕魂器		降神仪式中召唤死者灵魂时所使用的工具。把这个交给深渊祭司塞克提诺。	-1	0		1
972	油罐		捕捉到僵尸之后可以防止尸体腐烂的药液	-1	0		1
973	僵尸头		僵尸身上取下的头颅	-1	0		1
974	史提班德的头		「呜。。求求你，不要把我带到性格暴躁的铁匠那里。。!」	-1	0		1
976	哨兵的标章		表示精灵警卫队队员的标帜。击倒兽人塔奴克后向哨兵肯德尼尔报告。	-1	0		1
977	哨兵的标章		表示精灵警卫队队员的标帜。击倒兽人巴拓后向哨兵肯德尼尔报告。	-1	0		1
978	头骨粉碎者护身符		颅骨碎片制作成的兽人幸运符。把这个交给哨兵肯德尼尔。	-1	0		1
979	血矛护身符		兽人的血矛幸运符。把这个交给哨兵肯德尼尔。	-1	0		1
980	零		0	-1	0		1
982	艾斯兰德的推荐函		艾斯兰德所写的推荐函	-1	0		1
983	肯特奈尔的信		肯特奈尔所写的信	-1	0		1
984	玛瑙护身符		玛瑙制成的项链。把这个交给深渊祭司卡勒帝亚。	-1	0		1
985	玛瑙护身符		玛瑙制成的项链。从偷走默示路原本的突伦兽人山贼那里找回来，交给深渊祭司卡勒帝亚。	-1	0		1
986	古代卷轴		名为「凯沙默示录」的古代卷轴。将此与黏土版一起交给深渊祭司卡勒帝亚。	-1	0		1
987	古代的粘土字板		记录古代文字的粘土字板。将此与古代卷轴一起交给深渊祭司卡勒帝亚。	-1	0		1
988	卡勒帝亚的译本		卡勒帝亚完成的「凯沙默示录」的译本。将此交给大长老提费尔。	-1	0		1
1001	阿科兰托斯的经典(4页)			-1	0		1
1002	阿科兰托斯的经典(5页)			-1	0		1
1003	阿科兰托斯的经典(6页)			-1	0		1
1004	阿科兰托斯的经典(7页)			-1	0		1
1005	阿科兰托斯的经典(8页)			-1	0		1
1006	阿科兰托斯的经典(9页)			-1	0		1
1007	阿科兰托斯的经典(10页)			-1	0		1
1008	何瑞斯的收据		何瑞斯订做工具收到的收据。把这个交给铁匠阿尔特兰。	-1	0		1
1009	何瑞斯的收据		何瑞斯订做工具收到的收据。收集制作工具需要的石高仑碎片。	-1	0		1
1010	石高仑碎片		石高仑身上掉下来的碎片。收集5个交给铁匠阿尔特兰。	-1	0		1
1011	工具箱		铁匠阿尔特兰做的工具箱。交给神殿的教师何瑞斯。	-1	0		1
1012	送货清单		清单记载:送沉重的木箱给杰克森，送布捆给施菲雅，送粘土罐给仓库管理员兰特。	-1	0		1
1013	沉重的木箱		沉重的木箱	-1	0		1
1014	布捆		整捆的布匹，交给杂货商店的苏菲亚。	-1	0		1
1015	粘土罐		给仓库管理员兰特的黏土罐	-1	0		1
1016	杰克森的收据		杰克森收到木箱后给的收据。交给警卫阿诺德。	-1	0		1
1017	施菲亚的收据		苏菲亚收到布捆后给的收据。将此交给警卫阿诺德。	-1	0		1
1018	兰特的收据		兰特收到粘土罐后给的收据。将此交给警卫阿诺德	-1	0		1
1019	公文		古鲁丁领主为了召开会议，送给柯林温达伍德的公文。	-1	0		1
1020	火焰碎片		火的精石碎片。可以从火的精灵火蜥蜴那里得到。拿去交给商人卡特琳。	-1	0		1
1021	寒冰碎片		水的精石碎片。可以从水的精灵水精那里得到。拿去交给商人卡特琳。	-1	0		1
1022	莉里丝的信		莉里丝因想念千年前离开的恋人所写的信。找出她的恋人的消息。	-1	0		1
1023	泰恩的日记		泰恩因想念千年前离开的恋人所写的日记。把它拿给莉里丝。	-1	0		1
1024	金刚石原石		从格勒西亚进口的金刚石原石。收集20个交给仓库管理员沃尔朴豪德。	-1	0		1
1025	粘土写字板		追踪巴列斯的恶魔涅勒卡斯所携带的物品，将此交给大神官比奥帝。	-1	0		1
1026	银蜘蛛丝		银色的坚韧蜘蛛丝。把这个交给武器防具商店的乌诺连。	-1	0		1
1027	乌诺连的收据		乌诺连开给的收据。交给商人克里米斯。	-1	0		1
1028	克里米斯的传票		克里米斯发的凭单。把它交给仓库管理员茱莉亚。	-1	0		1
1029	茄科植物之叶		茄科植物的叶子。交给娜鲁帕。	-1	0		1
1030	破碎头骨		镰刀的破碎的头盖骨。拿给教师布拉斯帝吧。	-1	0		1
1031	完美头骨		镰刀的完整的头盖骨。拿给教师布拉斯帝吧。	-1	0		1
1032	狐狗的毛皮		狐狗的鬃毛，柔软质优，适合拉丝。交给克丽丝特。	-1	0		1
1033	狐狗的毛线		使用狐狗鬃毛抽丝后而得到的毛线。把它交给仓库管理员罗尔普南，会给做人偶的头发。	-1	0		1
1034	少女的玩偶		少女模样的人偶。将此交给灯塔看守人洛克斯威尔。	-1	0		1
1035	瘟疫之尘		瘟疫僵尸身上获得的粉末。把它交给长老阿斯特黎罗司。	-1	0		1
1036	安德烈亚的信		记载安德烈亚拜托姐妹塔里亚送些世界树果实的信。	-1	0		1
1037	世界树果实		世界树历经多年才能长成的果实。把它交给安德莉亚。	-1	0		1
1038	鲁米尔的第一首诗		记录鲁米尔第一首诗的卷轴。收集4个交给哨兵斯塔帝恩。	-1	0		1
1039	鲁米尔的第三首诗		记录鲁米尔第三首诗的卷轴。收集4个交给哨兵斯塔帝恩。	-1	0		1
1040	鲁米尔的第四首诗		记录鲁米尔第四首诗的卷轴。收集4个交给哨兵斯塔帝恩。	-1	0		1
1041	鲁米尔的第五首诗		记录鲁米尔第五首诗的卷轴。收集4个交给哨兵斯塔帝恩。	-1	0		1
1042	鼠人尖牙		从死鼠人拔出的尖牙。将此收集后交给大师艾尔尼亚。	-1	0		1
1043	巴鲁尔肮脏的尖牙		鼠人头目巴鲁尔口中拔下的尖牙。把这个交给大师艾尔尼亚。	-1	0		1
1044	克鲁纳克的头骨		击倒德雷巴奴头目克鲁纳克后得到的头盖骨，将此交给商人克里米斯。	-1	0		1
1045	僵尸皮		从沼泽地带的僵尸所取得的皮革。将此收集五个交给商人米娜蕾丝	-1	0		1
1046	梦靥水晶		魅魔梅肯尼斯施展法术时所使用的水晶。把它交给长老维廖尔。	-1	0		1
1047	魔法书-日光术		学习日光术的魔法书。	-1	0		1
1048	魔法书-力量强化		学习力量强化的魔法书。法师，精灵法师，黑暗法师使用。\n学习等级:7	-1	0		1
1049	魔法书-冰箭术		学习冰箭术的魔法书。法师，精灵法师，黑暗法师使用。\n学习等级:7	-1	0		1
1050	魔法书-急救术		学习急救术的魔法书。法师，精灵法师，黑暗法师使用。\n学习等级:14	-1	0		1
1051	魔法书-吸血鬼之吻		学习吸血鬼之吻的魔法书。法师，黑暗法师使用。\n学习等级:14	-1	0		1
1052	魔法书-火焰狂袭		学习火焰狂袭的魔法书。巫师，精灵巫师，黑暗巫师使用。\n学习等级:20	-1	0		1
1053	魔法书-疗毒术		学习疗毒术的魔法书。法师，精灵法师，黑暗法师使用。\n学习等级:7	-1	0		1
1054	魔法书-集体治愈术		学习集体治愈术的魔法书。法师，精灵法师，黑暗法师使用。\n学习等级:14	-1	0		1
1055	魔法书-毒咒术		学习毒咒术的魔法书。法师，黑暗法师使用。\n学习等级:7	-1	0		1
1056	魔法书-弱化术		学习弱化术的魔法书。法师，精灵法师使用。\n学习等级:14	-1	0		1
1057	魔法书-召唤食物		学习召唤食物的魔法书。	-1	0		1
1058	魔法书-保护盾		学习保护盾的魔法书。法师，精灵法师，黑暗法师使用。\n学习等级:7	-1	0		1
1059	魔法书-辨敌术		学习辨敌术的魔法书。	-1	0		1
1060	体力治愈药水		慢慢恢复生命的魔法药水，持续15秒钟。	-1	0		1
1061	终极体力治愈药水		慢慢恢复生命的魔法药水，持续15秒钟。	-1	0		1
1062	加速药水		提高移动速度的魔法药水	-1	0		1
1063	毕业证书		毕业证书。拿着毕业证书找宗师罗伊恩。	-1	0		1
1064	毕业证书		毕业证书。拿着毕业证书找大宗师噶尔林特。	-1	0		1
1065	毕业证书		毕业证书。拿着毕业证书找娜鲁帕。	-1	0		1
1066	毕业证书		毕业证书。拿着毕业证书找褐色精灵族长米特拉尔。	-1	0		1
1067	推荐函		拿着推荐函去找宗师罗伊恩。	-1	0		1
1068	推荐函		拿着推荐函去找大宗师噶尔林特。	-1	0		1
1069	世界树之叶		拿着世界树的叶子去找娜鲁帕。	-1	0		1
1070	深渊之血		把深渊之血米交给褐色精灵族长米特拉尔。	-1	0		1
1071	风信子符咒		长老阿斯特黎罗司给的符咒。为找到污染精灵村水的家伙们去水源地吧。	-1	0		1
1072	风信子符咒		长老阿斯特黎罗司给的符咒。去水源地猎杀僵尸收集5个瘟疫之尘。	-1	0		1
1073	新手体力治愈药水		慢慢恢复体力的魔法药水，持续时间非常短暂。	-1	0		1
1074	说话之岛->古鲁丁的船票		说话之岛出发到古鲁丁港口的船票	-1	0		1
1075	古鲁丁->说话之岛的船票		古鲁丁港口出发到说话之岛的船票	-1	0		1
1076	卡尔雷因的信		钢铁之门公会上半年度结算报告书:黑暗精灵仓库营运利润及使用者报告。	-1	0		1
1077	毒囊		巨大毒蜘蛛的毒囊。收集10个交给阿斯塔伦。	-1	0		1
1078	风之碎片		风的精石碎片。可以从风的精灵风精那里得到。收集这个交给黎兹赖尔。	-1	0		1
1079	达灵的收据		达灵付给巴乌洛魔法药水后的收据。必须将此交给巴乌洛	-1	0		1
1080	巴乌洛的药水		巴乌洛专为害羞的达灵所特制的药水，但是效果还是未知数。	-1	0		1
1081	玛瑙兽眼		长老达尔罗斯要求收集的3个材料中的第一个。	-1	0		1
1082	染色石		长老达尔罗斯要求收集的3个材料中的第二个。	-1	0		1
1083	魅魔的血		长老达尔罗斯要求收集的3个材料中的第三个。	-1	0		1
1084	古鲁丁领主的标章		获得领主授命的标帜。带着这个标志去狩猎兽人或者狼人。	-1	0		1
1085	兽人的骨项链		兽人战士为了施法所携带的骨项链。交给警卫队长革尔泊特。	-1	0		1
1086	狼人的尖牙		死去狼人口中拔下来的尖牙。交给警卫队长革尔泊特。	-1	0		1
1087	巨大蜘蛛的脚		从巨大蜘蛛身上割下来的脚。收集8个交给阿尔修佩斯。	-1	0		1
1088	安德理亚斯的信		神官安德理亚斯的信。拿着去找商人艾理亚，仓库管理员杜蓝克斯，大师特罗帝。	-1	0		1
1089	仪式匕首		黑暗仪式时使用的匕首。交给深渊祭司安德理亚斯。	-1	0		1
1090	德雷比安葡萄酒		黑暗仪式时使用的葡萄酒。交给深渊祭司安德理亚斯。	-1	0		1
1091	凯勒米尔的经典		举行黑暗仪式时所要使用的经典，将此交给深渊祭司安德理亚斯。	-1	0		1
1092	阿路基恩的信		阿路基恩想念葛雷妮丝时所写的信。把信交给传送师米帝尔。	-1	0		1
1093	阿路基恩的信		阿路基恩想念葛雷妮丝时所写的信。把信交给商人何布帝恩。	-1	0		1
1094	阿路基恩的信		阿路基恩想念葛雷妮丝时所写的信。此信既然已经给米帝尔和何布帝恩看过了，那就回去找阿路基恩吧。	-1	0		1
1095	魔法书-攻击提升		学习攻击强化的魔法书。精灵战士，黑暗战士使用。\n学习等级:10	-1	0		1
1096	魔法书-元素治愈		学习元素治愈的魔法书。精灵战士使用。\n学习等级:15	-1	0		1
1097	魔法书-能量夺取		学习能量夺取的魔法书。骑士，黑暗战士使用。\n学习等级:黑暗精灵战士-15，骑士-20	-1	0		1
1098	魔法书-风之疾走		学习风之疾走的魔法书。牧师，神使，席琳神使使用。\n学习等级:20	-1	0		1
1099	魔法书-风之枷锁		学习风之枷锁的魔法书。精灵法师，黑暗法师使用。\n学习等级:14	-1	0		1
1106	诺曼的信		钢铁之门公会上半年度结算报告书:古鲁丁支部公会支出及仓库营运利润结算。	-1	0		1
1107	骨碎片		骸骨的碎片	-1	0		1
1108	亚本的信			-1	0		1
1109	总管罗恩的信			-1	0		1
1110	骨碎片			-1	0		1
1111	金刚石原石			-1	0		1
1112	世界树之叶			-1	0		1
1113	米特拉尔之血			-1	0		1
1114	兽人的羽毛护身符		卡布兽人为了施法所携带的羽毛护身符。交给哨兵莱伊吉恩。	-1	0		1
1115	兽人的骨项链		卡布兽人为了施法所携带的骨项链。交给哨兵莱伊吉恩。	-1	0		1
1116	兽人的羽毛护身符		卡布兽人为了施法所携带的羽毛护身符。交给哨兵莱伊吉恩。	-1	0		1
1117	兽人的骨项链		卡布兽人们为了施法所携带的骨项链。交给哨兵莱伊吉恩。	-1	0		1
1118	蘑菇孢囊		装满蘑菇孢子的囊袋。收集10个交给商人何布帝恩。	-1	0		1
1130	科班得的治愈药		科班得制作的治愈药	-1	0		1
1131	科班得的治愈药		科班得制作的治愈药	-1	0		1
1132	科班得的治愈药		科班得制作的治愈药	-1	0		1
1133	科班得的治愈药		科班得制作的治愈药	-1	0		1
1134	科班得的治愈药		科班得制作的治愈药	-1	0		1
1135	精灵封印之杖		镜之精灵被封印的杖。将3个镜之精灵封印之后去找大巫师噶尔林特	-1	0		1
1136	精灵封印之杖		镜之精灵被封印的杖。将3个镜之精灵封印之后去找大巫师噶尔林特	-1	0		1
1137	精灵封印之杖		镜之精灵被封印的杖。将3个镜之精灵封印之后去找大巫师噶尔林特	-1	0		1
1138	阿伊努的信		阿伊努写的信。拿此信交给古鲁丁城前村庄的商人辛普龙。	-1	0		1
1139	斗士联会的标章		斗士联会成员的标章。带着这个表章去悲哀废墟猎杀骷髅搜查兵。	-1	0		1
1140	生锈的青铜剑		骷髅搜查兵使用的旧青铜剑，收集10个之后，交给商人辛普龙。	-1	0		1
1141	生锈的青铜剑		由辛普龙所给予的旧青铜剑，又称之为磨练之剑。将此交给大师阿伊努。	-1	0		1
1143	辛普龙的信		商人辛普龙所写的信，将此交给大师阿伊努。	-1	0		1
1144	巨大毒蜘蛛的脚		杀死巨大毒蜘蛛或缚毒蜘蛛后所截取的蜘蛛腿。将此收集20个交给大师阿伊努。	-1	0		1
1145	斗士的勋章		证明已通过试练具有转职为斗士资格的勋章。拿着此勋章去找战士工会的宗师可以转职为斗士。	-1	0		1
1150	魔法书-狂风之击		学习狂风之击的魔法书。	-1	0		1
1151	魔法书-自我治愈		学习自我治愈的魔法书。	-1	0		1
1152	魔法书-治愈术		学习治愈术的魔法书。法师，精灵法师，黑暗法师使用。\n学习等级:7	-1	0		1
1153	洁妮恩的信		哨兵洁妮恩写给大师哈兰特的信。	-1	0		1
1154	岗哨刀		新发给岗哨兵使用的金刚石之剑	-1	0		1
